polity,reign_index,duration_years,region,succession_type,temporal_scope,notes
Aztec Empire,1,51,Americas,elective,1325 - 1521,Aztec tlatoanis
Aztec Empire,2,40,Americas,elective,1325 - 1521,Aztec tlatoanis
Aztec Empire,3,26,Americas,elective,1325 - 1521,Aztec tlatoanis
Aztec Empire,4,14,Americas,elective,1325 - 1521,Aztec tlatoanis
Aztec Empire,5,18,Americas,elective,1325 - 1521,Aztec tlatoanis
Aztec Empire,6,17,Americas,elective,1325 - 1521,Aztec tlatoanis
Aztec Empire,7,14,Americas,elective,1325 - 1521,Aztec tlatoanis
Aztec Empire,8,9,Americas,elective,1325 - 1521,Aztec tlatoanis
Aztec Empire,9,2,Americas,elective,1325 - 1521,Aztec tlatoanis
Byzantine Empire,1,11,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,2,27,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,3,8,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,4,9,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,5,12,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,6,9,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,7,27,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,8,38,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,9,3,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,10,4,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,11,20,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,12,8,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,13,2,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,14,13,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,15,33,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,16,17,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,17,6,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
Byzantine Empire,18,1,Europe,hereditary,395 - 1453,Eastern Roman / Byzantine emperors
